glacier_id,glacier_na,glims_id,wgi_id,rgi_id,nhd_id,gnis_id,recno,parent_ice,glac_status
G236965E41006N,CA,G236965E41006N,,RGI60-02.13965,120011318, ,,,exists
G236955E41003N,CA,G236955E41003N,,RGI60-02.13966,111585795, ,,,exists
G236945E41003N,CA,G236945E41003N,,RGI60-02.13967,111585801, ,,,exists
G236948E41002N,CA,G236948E41002N,,RGI60-02.13968,111585803, ,,,exists
G236958E40997N,CA,G236958E40997N,,RGI60-02.13969,111577159, ,,,exists
G236968E40996N,CA,G236968E40996N,,RGI60-02.13970,111577161, ,,,exists
G236976E40992N,CA,G236976E40992N,,RGI60-02.13971,111577167, ,,,exists
G236989E40990N,CA,G236989E40990N,,RGI60-02.13972,111577169, ,,,exists
G236947E40987N,CA,G236947E40987N,,RGI60-02.13973,111577171, ,,,exists
G236960E40988N,CA,G236960E40988N,,RGI60-02.13974,111577175, ,,,exists
G236947E40984N,CA,G236947E40984N,,RGI60-02.13975,111577179, ,,,exists
G236948E40981N,CA,G236948E40981N,,RGI60-02.13976,111577189, ,,,exists
G236944E40979N,CA,G236944E40979N,,RGI60-02.13977,111577191, ,,,exists
G236947E40977N,CA,G236947E40977N,,RGI60-02.13978,111577197, ,,,exists
G236996E40975N,CA,G236996E40975N,,RGI60-02.13979,111577203, ,,,exists
G236946E40973N,CA,G236946E40973N,,RGI60-02.13980,111577209, ,,,exists
G236944E40972N,CA,G236944E40972N,,RGI60-02.13981,111577215, ,,,exists
G236948E40971N,CA,G236948E40971N,,RGI60-02.13982,111577217, ,,,exists
G236951E40967N,CA,G236951E40967N,,RGI60-02.13983,111577219, ,,,exists
G236959E40970N,CA,G236959E40970N,,RGI60-02.13984,111591887, ,,,exists
G236938E40965N,CA,G236938E40965N,,RGI60-02.13985,111577221, ,,,exists
G236929E40965N,CA,G236929E40965N,,RGI60-02.13986,111577223, ,,,exists
G236946E40964N,CA,G236946E40964N,,RGI60-02.13987,111577225, ,,,exists
G236942E40963N,CA,G236942E40963N,,RGI60-02.13988,111591889, ,,,exists
G236951E40961N,CA,G236951E40961N,,RGI60-02.13989,111577227, ,,,exists
G236946E40958N,CA,G236946E40958N,,RGI60-02.13990,111577229, ,,,exists
G236951E40942N,CA,G236951E40942N,,RGI60-02.13991,111577247, ,,,exists
G236973E41005N,CA,G236973E41005N,,RGI60-02.13992,120011319, ,,,exists
G236999E40988N,CA,G236999E40988N,,RGI60-02.13993,111591883, ,,,exists
G237000E40975N,CA,G237000E40975N,,RGI60-02.13994,111591885, ,,,exists
G241455E36387N,CA,G241455E36387N,,RGI60-02.14856,,,,,exists
G241416E36399N,CA,G241416E36399N,,RGI60-02.14857,34032393, ,,,exists
G241440E36407N,CA,G241440E36407N,,RGI60-02.14858,34032379, ,,,exists
G241443E36407N,CA,G241443E36407N,,RGI60-02.14859,34032387, ,,,exists
G241446E36408N,CA,G241446E36408N,,RGI60-02.14860,34032381, ,,,
G241476E36457N,CA,G241476E36457N,,RGI60-02.14861,,,,,exists
G241470E36457N,CA,G241470E36457N,,RGI60-02.14862,,,,,exists
G241442E36458N,CA,G241442E36458N,,RGI60-02.14863,34032359, ,,,exists
G241432E36503N,CA,G241432E36503N,,RGI60-02.14864,120011350, ,,,exists
G241429E36504N,CA,G241429E36504N,,RGI60-02.14865,34032355, ,,,exists
G241424E36504N,CA,G241424E36504N,,RGI60-02.14866,34032353, ,,,exists
G241710E36514N,CA,G241710E36514N,,RGI60-02.14867,,,,,exists
G241703E36518N,CA,G241703E36518N,,RGI60-02.14868,,,,,exists
G241702E36520N,CA,G241702E36520N,,RGI60-02.14869,,,,,exists
G241716E36525N,CA,G241716E36525N,,RGI60-02.14870,,,,,exists
G241437E36523N,CA,G241437E36523N,,RGI60-02.14871,30984576, ,,,exists
G241708E36529N,CA,G241708E36529N,,RGI60-02.14872,,,,,exists
G241720E36531N,CA,G241720E36531N,,RGI60-02.14873,,,,,exists
G241511E36531N,CA,G241511E36531N,,RGI60-02.14874,30984590, ,,,exists
G241690E36537N,CA,G241690E36537N,,RGI60-02.14875,,,,,exists
G241516E36532N,CA,G241516E36532N,,RGI60-02.14876,30984588, ,,,exists
G241535E36536N,CA,G241535E36536N,,RGI60-02.14877,30984594, ,,,exists
G241505E36536N,CA,G241505E36536N,,RGI60-02.14878,30984572, ,,,exists
G241435E36538N,CA,G241435E36538N,,RGI60-02.14879,120011349, ,,,exists
G241500E36538N,CA,G241500E36538N,,RGI60-02.14880,30984570, ,,,exists
G241498E36542N,CA,G241498E36542N,,RGI60-02.14881,120011348, ,,,exists
G241741E36550N,CA,G241741E36550N,,RGI60-02.14882,,,,,exists
G241485E36548N,CA,G241485E36548N,,RGI60-02.14883,30984562, ,,,exists
G241739E36551N,CA,G241739E36551N,,RGI60-02.14884,,,,,exists
G241438E36547N,CA,G241438E36547N,,RGI60-02.14885,34032339, ,,,exists
G241441E36548N,CA,G241441E36548N,,RGI60-02.14886,120011347, ,,,exists
G241476E36551N,CA,G241476E36551N,,RGI60-02.14887,30984548, ,,,exists
G241484E36550N,CA,G241484E36550N,,RGI60-02.14888,30984558, ,,,exists
G241494E36548N,CA,G241494E36548N,US2K04332006,RGI60-02.14889,30984560, ,,,exists
G241704E36555N,CA,G241704E36555N,,RGI60-02.14890,,,,,exists
G241727E36555N,CA,G241727E36555N,,RGI60-02.14891,,,,,exists
G241716E36558N,CA,G241716E36558N,US2L00211004,RGI60-02.14892,,,,,exists
G241510E36560N,CA,G241510E36560N,,RGI60-02.14893,30984540, ,,,exists
G241712E36563N,CA,G241712E36563N,,RGI60-02.14894,,,,,exists
G241492E36559N,CA,G241492E36559N,US2K04332009,RGI60-02.14895,30984526, ,,,exists
G241478E36562N,CA,G241478E36562N,,RGI60-02.14896,30984522, ,,,exists
G241712E36566N,CA,G241712E36566N,,RGI60-02.14897,,,,,exists
G241485E36566N,CA,G241485E36566N,US2K04332010,RGI60-02.14898,30984518, ,,,exists
G241442E36571N,CA,G241442E36571N,,RGI60-02.14899,34032333, ,,,exists
